
NO.1-67data[ 2 20 43], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-68data[ 9 25 26], 總效率 = 0.15, 各角度效率 = [0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-69data[ 3 26 70], 總效率 = 0.98, 各角度效率 = [0.71, 0.26, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-70data[ 3  3 10], 總效率 = 0.31, 各角度效率 = [0.0, 0.02, 0.02, 0.02, 0.03, 0.04, 0.07, 0.11]
NO.1-71data[ 9 18  9], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-72data[10 24 62], 總效率 = 2.7900000000000005, 各角度效率 = [0.83, 0.75, 0.93, 0.22, 0.06, 0.0, 0.0, 0.0]
NO.1-73data[ 2 29 70], 總效率 = 0.33, 各角度效率 = [0.2, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-74data[ 1 28 29], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-75data[ 6  2 58], 總效率 = 0.46, 各角度效率 = [0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-76data[ 4  4 41], 總效率 = 2.92, 各角度效率 = [0.04, 0.0, 0.0, 0.0, 0.34, 0.54, 1.0, 1.0]
NO.1-77data[ 6 13 87], 總效率 = 3.4299999999999997, 各角度效率 = [0.34, 0.41, 0.55, 0.61, 0.51, 0.09, 0.65, 0.27]
NO.1-78data[ 7 11 83], 總效率 = 4.59, 各角度效率 = [0.34, 0.13, 0.09, 1.0, 0.98, 1.0, 0.33, 0.72]
NO.1-79data[ 3 14 45], 總效率 = 0.03, 各角度效率 = [0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-80data[ 8 23 50], 總效率 = 1.53, 各角度效率 = [0.97, 0.18, 0.31, 0.07, 0.0, 0.0, 0.0, 0.0]
NO.1-81data[ 7 16 17], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-82data[ 6 11 41], 總效率 = 0.8899999999999999, 各角度效率 = [0.21, 0.52, 0.1, 0.06, 0.0, 0.0, 0.0, 0.0]
NO.1-83data[ 6 22 10], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-84data[ 8 21 13], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-85data[ 7 13 31], 總效率 = 1.1400000000000001, 各角度效率 = [0.58, 0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-86data[ 4  4 12], 總效率 = 0.76, 各角度效率 = [0.0, 0.03, 0.02, 0.02, 0.06, 0.19, 0.15, 0.29]
NO.1-87data[ 3 28  7], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-88data[ 3 22 28], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-89data[10  7 48], 總效率 = 2.09, 各角度效率 = [0.43, 0.32, 0.19, 1.0, 0.04, 0.07, 0.04, 0.0]
NO.1-90data[ 4 25 11], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-91data[10 12 29], 總效率 = 2.4199999999999995, 各角度效率 = [0.23, 0.32, 0.4, 0.35, 1.0, 0.11, 0.01, 0.0]
NO.1-92data[ 1 17 35], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-93data[ 2 23 45], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-94data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.1-95data[ 4 27 30], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-96data[ 1 22 65], 總效率 = 0.19, 各角度效率 = [0.16, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-97data[ 3  2 89], 總效率 = 0.53, 各角度效率 = [0.26, 0.23, 0.01, 0.02, 0.01, 0.0, 0.0, 0.0]
NO.1-98data[ 3 21 15], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-99data[10  3 42], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-100data[ 5  2 77], 總效率 = 0.44, 各角度效率 = [0.42, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]
eff前五高分:第[94, 26, 58, 78, 77]個，總效率分別為[6.91, 5.04, 4.88, 4.59, 3.43]
fit前五高分:第[94, 26, 58, 78, 77]個，總評價分別為[6.91, 5.04, 4.88, 4.59, 3.43]
